Codice Ripartizione geografica,Codice Regione,Codice Provincia/Uts,Codice Comune,Comune,Targa,Capoluogo di Provincia/Uts,Capoluogo di Regione,Superficie (Kmq),Anno,Popolazione
1,1,201,1001,Agliè,TO,False,False,13.1462,2020,2545
1,1,201,1002,Airasca,TO,False,False,15.7393,2020,3633
1,1,201,1003,Ala di Stura,TO,False,False,46.3315,2020,459
1,1,201,1004,Albiano d'Ivrea,TO,False,False,11.7314,2020,1638
1,1,201,1006,Almese,TO,False,False,17.8756,2020,6355
1,1,201,1007,Alpette,TO,False,False,5.6261,2020,235
1,1,201,1008,Alpignano,TO,False,False,11.9193,2020,16484
1,1,201,1009,Andezeno,TO,False,False,7.486,2020,2013
1,1,201,1010,Andrate,TO,False,False,9.3085,2020,488
1,1,201,1011,Angrogna,TO,False,False,38.8782,2020,838
1,1,201,1012,Arignano,TO,False,False,8.1668,2020,1080
1,1,201,1013,Avigliana,TO,False,False,23.2172,2020,12351
1,1,201,1014,Azeglio,TO,False,False,9.9605,2020,1235
1,1,201,1015,Bairo,TO,False,False,7.0859,2020,787
1,1,201,1016,Balangero,TO,False,False,13.0063,2020,3064
1,1,201,1017,Baldissero Canavese,TO,False,False,4.5064,2020,533
1,1,201,1018,Baldissero Torinese,TO,False,False,15.4054,2020,3671
1,1,201,1019,Balme,TO,False,False,62.7105,2020,110
1,1,201,1020,Banchette,TO,False,False,2.0289,2020,3112
1,1,201,1021,Barbania,TO,False,False,12.8027,2020,1585
1,1,201,1022,Bardonecchia,TO,False,False,132.203,2020,3078
1,1,201,1023,Barone Canavese,TO,False,False,3.9864,2020,559
1,1,201,1024,Beinasco,TO,False,False,6.7343,2020,17532
1,1,201,1025,Bibiana,TO,False,False,18.5979,2020,3392
1,1,201,1026,Bobbio Pellice,TO,False,False,94.0819,2020,537
1,1,201,1027,Bollengo,TO,False,False,14.2234,2020,2097
1,1,201,1028,Borgaro Torinese,TO,False,False,11.1039,2020,11773
1,1,201,1029,Borgiallo,TO,False,False,6.9648,2020,592
1,1,201,1030,Borgofranco d'Ivrea,TO,False,False,13.4189,2020,3590
1,1,201,1031,Borgomasino,TO,False,False,12.3712,2020,772
1,1,201,1032,Borgone Susa,TO,False,False,4.9617,2020,2187
1,1,201,1033,Bosconero,TO,False,False,10.919,2020,3074
1,1,201,1034,Brandizzo,TO,False,False,6.2914,2020,8798
1,1,201,1035,Bricherasio,TO,False,False,22.7585,2020,4564
1,1,201,1036,Brosso,TO,False,False,11.135,2020,402
1,1,201,1037,Brozolo,TO,False,False,8.9504,2020,449
1,1,201,1038,Bruino,TO,False,False,5.5701,2020,8475
1,1,201,1039,Brusasco,TO,False,False,14.3592,2020,1482
1,1,201,1040,Bruzolo,TO,False,False,12.5598,2020,1487
1,1,201,1041,Buriasco,TO,False,False,14.6868,2020,1329
1,1,201,1042,Burolo,TO,False,False,5.476,2020,1134
1,1,201,1043,Busano,TO,False,False,5.0591,2020,1622
1,1,201,1044,Bussoleno,TO,False,False,37.0661,2020,5703
1,1,201,1045,Buttigliera Alta,TO,False,False,8.0973,2020,6292
1,1,201,1046,Cafasse,TO,False,False,10.2312,2020,3334
1,1,201,1047,Caluso,TO,False,False,39.4925,2020,7344
1,1,201,1048,Cambiano,TO,False,False,14.1314,2020,5915
1,1,201,1049,Campiglione Fenile,TO,False,False,11.0863,2020,1333
1,1,201,1050,Candia Canavese,TO,False,False,9.1318,2020,1219
1,1,201,1051,Candiolo,TO,False,False,11.8499,2020,5627
1,1,201,1052,Canischio,TO,False,False,11.9505,2020,277
1,1,201,1053,Cantalupa,TO,False,False,11.1953,2020,2574
1,1,201,1054,Cantoira,TO,False,False,23.0319,2020,588
1,1,201,1055,Caprie,TO,False,False,16.4078,2020,2057
1,1,201,1056,Caravino,TO,False,False,11.5371,2020,901
1,1,201,1057,Carema,TO,False,False,10.2579,2020,739
