Codice Comune,DATA_TYPE,RESULT,Anno,OBS_VALUE
1001,KILLINJ,F,2024,5
1001,KILLINJ,F,2023,6
1001,KILLINJ,F,2022,5
1001,KILLINJ,F,2021,2
1001,KILLINJ,F,2020,4
1001,KILLINJ,M,2024,0
1001,KILLINJ,M,2023,1
1001,KILLINJ,M,2022,0
1001,KILLINJ,M,2021,0
1001,KILLINJ,M,2020,0
1001,ROADACC,9,2024,2
1001,ROADACC,9,2023,3
1001,ROADACC,9,2022,3
1001,ROADACC,9,2021,2
1001,ROADACC,9,2020,4
1002,KILLINJ,F,2024,9
1002,KILLINJ,F,2023,10
1002,KILLINJ,F,2022,5
1002,KILLINJ,F,2021,9
1002,KILLINJ,F,2020,14
1002,KILLINJ,M,2024,0
1002,KILLINJ,M,2023,1
1002,KILLINJ,M,2022,0
1002,KILLINJ,M,2021,0
1002,KILLINJ,M,2020,0
1002,ROADACC,9,2024,5
1002,ROADACC,9,2023,7
1002,ROADACC,9,2022,4
1002,ROADACC,9,2021,6
1002,ROADACC,9,2020,8
1003,KILLINJ,F,2024,2
1003,KILLINJ,F,2023,1
1003,KILLINJ,F,2022,0
1003,KILLINJ,F,2021,0
1003,KILLINJ,F,2020,0
1003,KILLINJ,M,2024,0
1003,KILLINJ,M,2023,0
1003,KILLINJ,M,2022,0
1003,KILLINJ,M,2021,0
1003,KILLINJ,M,2020,0
1003,ROADACC,9,2024,1
1003,ROADACC,9,2023,1
1003,ROADACC,9,2022,0
1003,ROADACC,9,2021,0
1003,ROADACC,9,2020,0
1004,KILLINJ,F,2024,9
1004,KILLINJ,F,2023,4
1004,KILLINJ,F,2022,4
1004,KILLINJ,F,2021,2
1004,KILLINJ,F,2020,3
1004,KILLINJ,M,2024,0
1004,KILLINJ,M,2023,0
1004,KILLINJ,M,2022,0
1004,KILLINJ,M,2021,0
1004,KILLINJ,M,2020,0
1004,ROADACC,9,2024,4
1004,ROADACC,9,2023,2
1004,ROADACC,9,2022,4
1004,ROADACC,9,2021,2
1004,ROADACC,9,2020,3
1005,KILLINJ,F,2018,0
1005,KILLINJ,F,2017,6
1005,KILLINJ,F,2016,0
1005,KILLINJ,F,2015,3
1005,KILLINJ,F,2014,2
1005,KILLINJ,M,2018,0
1005,KILLINJ,M,2017,0
1005,KILLINJ,M,2016,0
1005,KILLINJ,M,2015,0
1005,KILLINJ,M,2014,0
1005,ROADACC,9,2018,0
1005,ROADACC,9,2017,2
1005,ROADACC,9,2016,0
1005,ROADACC,9,2015,1
1005,ROADACC,9,2014,2
1006,KILLINJ,F,2024,2
1006,KILLINJ,F,2023,4
1006,KILLINJ,F,2022,8
1006,KILLINJ,F,2021,4
1006,KILLINJ,F,2020,8
1006,KILLINJ,M,2024,0
1006,KILLINJ,M,2023,0
1006,KILLINJ,M,2022,1
1006,KILLINJ,M,2021,0
1006,KILLINJ,M,2020,0
1006,ROADACC,9,2024,2
1006,ROADACC,9,2023,2
1006,ROADACC,9,2022,8
1006,ROADACC,9,2021,3
1006,ROADACC,9,2020,6
1007,KILLINJ,F,2023,2
1007,KILLINJ,F,2022,0
1007,KILLINJ,F,2021,0
1007,KILLINJ,F,2020,1
1007,KILLINJ,F,2019,0
1007,KILLINJ,M,2023,0
1007,KILLINJ,M,2022,0
1007,KILLINJ,M,2021,0
1007,KILLINJ,M,2020,0
1007,KILLINJ,M,2019,0
1007,ROADACC,9,2023,1
1007,ROADACC,9,2022,0
1007,ROADACC,9,2021,0
1007,ROADACC,9,2020,1
1007,ROADACC,9,2019,0
1008,KILLINJ,F,2024,24
1008,KILLINJ,F,2023,36
1008,KILLINJ,F,2022,31
1008,KILLINJ,F,2021,46
1008,KILLINJ,F,2020,25
1008,KILLINJ,M,2024,0
1008,KILLINJ,M,2023,1
1008,KILLINJ,M,2022,0
1008,KILLINJ,M,2021,0
1008,KILLINJ,M,2020,0
1008,ROADACC,9,2024,20
1008,ROADACC,9,2023,27
1008,ROADACC,9,2022,23
1008,ROADACC,9,2021,30
1008,ROADACC,9,2020,18
1009,KILLINJ,F,2024,3
1009,KILLINJ,F,2023,4
1009,KILLINJ,F,2022,3
1009,KILLINJ,F,2021,2
1009,KILLINJ,F,2020,1
1009,KILLINJ,M,2024,0
1009,KILLINJ,M,2023,0
1009,KILLINJ,M,2022,0
1009,KILLINJ,M,2021,0
1009,KILLINJ,M,2020,0
1009,ROADACC,9,2024,2
1009,ROADACC,9,2023,2
1009,ROADACC,9,2022,2
1009,ROADACC,9,2021,2
1009,ROADACC,9,2020,1
1010,KILLINJ,F,2024,1
1010,KILLINJ,F,2023,0
1010,KILLINJ,F,2022,0
1010,KILLINJ,F,2021,0
1010,KILLINJ,F,2020,0
1010,KILLINJ,M,2024,0
1010,KILLINJ,M,2023,0
1010,KILLINJ,M,2022,0
1010,KILLINJ,M,2021,0
1010,KILLINJ,M,2020,0
1010,ROADACC,9,2024,1
1010,ROADACC,9,2023,0
1010,ROADACC,9,2022,0
1010,ROADACC,9,2021,0
1010,ROADACC,9,2020,0
1011,KILLINJ,F,2023,0
1011,KILLINJ,F,2022,0
1011,KILLINJ,F,2021,0
1011,KILLINJ,F,2020,0
1011,KILLINJ,F,2019,0
1011,KILLINJ,M,2023,0
1011,KILLINJ,M,2022,0
1011,KILLINJ,M,2021,0
1011,KILLINJ,M,2020,0
1011,KILLINJ,M,2019,0
1011,ROADACC,9,2023,0
1011,ROADACC,9,2022,0
1011,ROADACC,9,2021,0
1011,ROADACC,9,2020,0
1011,ROADACC,9,2019,0
1012,KILLINJ,F,2024,1
1012,KILLINJ,F,2023,1
1012,KILLINJ,F,2022,6
1012,KILLINJ,F,2021,2
1012,KILLINJ,F,2020,0
1012,KILLINJ,M,2024,0
1012,KILLINJ,M,2023,0
1012,KILLINJ,M,2022,1
1012,KILLINJ,M,2021,0
1012,KILLINJ,M,2020,0
1012,ROADACC,9,2024,1
1012,ROADACC,9,2023,1
1012,ROADACC,9,2022,3
1012,ROADACC,9,2021,1
1012,ROADACC,9,2020,0
1013,KILLINJ,F,2024,47
1013,KILLINJ,F,2023,54
1013,KILLINJ,F,2022,50
1013,KILLINJ,F,2021,32
1013,KILLINJ,F,2020,39
1013,KILLINJ,M,2024,1
1013,KILLINJ,M,2023,1
1013,KILLINJ,M,2022,0
1013,KILLINJ,M,2021,0
